INFO  | 2022-02-03 09:29:23 | org.springframework.boot.StartupInfoLogger [restartedMain]  (StartupInfoLogger.java:48) - Starting KafkaConsumerApplication on 105248-005L with PID 21380 (D:\Ezcash\kafka-consumer_CRM\kafka-consumer\target\classes started by Dilan_105248 in D:\Ezcash\kafka-consumer_CRM\kafka-consumer)
INFO  | 2022-02-03 09:29:23 | org.springframework.boot.SpringApplication [restartedMain]  (SpringApplication.java:597) - The following profiles are active: qa
INFO  | 2022-02-03 09:30:28 | org.springframework.boot.StartupInfoLogger [restartedMain]  (StartupInfoLogger.java:48) - Starting KafkaConsumerApplication on 105248-005L with PID 22476 (D:\Ezcash\kafka-consumer_CRM\kafka-consumer\target\classes started by Dilan_105248 in D:\Ezcash\kafka-consumer_CRM\kafka-consumer)
INFO  | 2022-02-03 09:30:28 | org.springframework.boot.SpringApplication [restartedMain]  (SpringApplication.java:597) - The following profiles are active: qa
INFO  | 2022-02-03 09:30:44 | org.springframework.boot.StartupInfoLogger [restartedMain]  (StartupInfoLogger.java:57) - Started KafkaConsumerApplication in 17.285 seconds (JVM running for 21.339)
INFO  | 2022-02-03 09:31:12 | ezcash.kafka.scheduler.SchedulerService [task-scheduler-1]  (SchedulerService.java:36) - start fetching customer details scheduler
INFO  | 2022-02-03 09:31:20 | ezcash.kafka.scheduler.SchedulerService [task-scheduler-1]  (SchedulerService.java:43) - no records for requesting in the database
INFO  | 2022-02-03 09:31:21 | ezcash.kafka.scheduler.SchedulerService [task-scheduler-1]  (SchedulerService.java:45) - end fetching customer details scheduler
INFO  | 2022-02-03 09:33:15 | ezcash.kafka.scheduler.SchedulerService [task-scheduler-1]  (SchedulerService.java:36) - start fetching customer details scheduler
INFO  | 2022-02-03 09:33:18 | ezcash.kafka.scheduler.SchedulerService [task-scheduler-1]  (SchedulerService.java:40) - 1
INFO  | 2022-02-03 09:33:21 | ezcash.kafka.scheduler.SchedulerService [task-scheduler-1]  (SchedulerService.java:57) - start executing customer details
INFO  | 2022-02-03 09:33:23 | kafka.kafkaconsumer.service.CustomerDetailsUpdateRequestService [task-scheduler-1]  (CustomerDetailsUpdateRequestService.java:43) - start calling API for MSISDN 740138525
INFO  | 2022-02-03 09:33:29 | kafka.kafkaconsumer.service.CustomerDetailsUpdateRequestService [task-scheduler-1]  (CustomerDetailsUpdateRequestService.java:57) - Call rest service for 740138525
INFO  | 2022-02-03 09:33:35 | kafka.kafkaconsumer.service.CustomerDetailsUpdateRequestService [task-scheduler-1]  (CustomerDetailsUpdateRequestService.java:63) - Request for 740138525 forwerded to rest api
INFO  | 2022-02-03 09:33:40 | kafka.kafkaconsumer.service.CustomerDetailsUpdateRequestService [task-scheduler-1]  (CustomerDetailsUpdateRequestService.java:66) - Status Code : 200
INFO  | 2022-02-03 09:33:40 | kafka.kafkaconsumer.service.CustomerDetailsUpdateRequestService [task-scheduler-1]  (CustomerDetailsUpdateRequestService.java:67) - Response : <200 OK,{"status":5,"statusDescription":"Transaction you performed is successful."},{Server=[Apache-Coyote/1.1], Content-Type=[application/json;charset=UTF-8], Transfer-Encoding=[chunked], Date=[Thu, 03 Feb 2022 04:03:39 GMT]}>
INFO  | 2022-02-03 09:33:43 | ezcash.kafka.scheduler.SchedulerService [task-scheduler-1]  (SchedulerService.java:61) - start executing customer details
INFO  | 2022-02-03 09:33:43 | ezcash.kafka.scheduler.SchedulerService [task-scheduler-1]  (SchedulerService.java:45) - end fetching customer details scheduler
INFO  | 2022-02-03 16:10:14 | org.springframework.boot.StartupInfoLogger [restartedMain]  (StartupInfoLogger.java:48) - Starting KafkaConsumerApplication on 105248-005L with PID 15364 (D:\Ezcash\kafka-consumer_CRM\kafka-consumer\target\classes started by Dilan_105248 in D:\Ezcash\kafka-consumer_CRM\kafka-consumer)
INFO  | 2022-02-03 16:10:14 | org.springframework.boot.SpringApplication [restartedMain]  (SpringApplication.java:597) - The following profiles are active: qa
INFO  | 2022-02-03 16:14:29 | org.springframework.boot.StartupInfoLogger [restartedMain]  (StartupInfoLogger.java:48) - Starting KafkaConsumerApplication on 105248-005L with PID 29036 (D:\Ezcash\kafka-consumer_CRM\kafka-consumer\target\classes started by Dilan_105248 in D:\Ezcash\kafka-consumer_CRM\kafka-consumer)
INFO  | 2022-02-03 16:14:29 | org.springframework.boot.SpringApplication [restartedMain]  (SpringApplication.java:597) - The following profiles are active: qa
INFO  | 2022-02-03 16:16:26 | org.springframework.boot.StartupInfoLogger [restartedMain]  (StartupInfoLogger.java:48) - Starting KafkaConsumerApplication on 105248-005L with PID 28132 (D:\Ezcash\kafka-consumer_CRM\kafka-consumer\target\classes started by Dilan_105248 in D:\Ezcash\kafka-consumer_CRM\kafka-consumer)
INFO  | 2022-02-03 16:16:26 | org.springframework.boot.SpringApplication [restartedMain]  (SpringApplication.java:597) - The following profiles are active: qa
INFO  | 2022-02-03 16:22:19 | org.springframework.boot.StartupInfoLogger [restartedMain]  (StartupInfoLogger.java:48) - Starting KafkaConsumerApplication on 105248-005L with PID 30096 (D:\Ezcash\kafka-consumer_CRM\kafka-consumer\target\classes started by Dilan_105248 in D:\Ezcash\kafka-consumer_CRM\kafka-consumer)
INFO  | 2022-02-03 16:22:19 | org.springframework.boot.SpringApplication [restartedMain]  (SpringApplication.java:597) - The following profiles are active: qa
INFO  | 2022-02-03 16:37:48 | org.springframework.boot.StartupInfoLogger [restartedMain]  (StartupInfoLogger.java:48) - Starting KafkaConsumerApplication on 105248-005L with PID 29816 (D:\Ezcash\kafka-consumer_CRM\kafka-consumer\target\classes started by Dilan_105248 in D:\Ezcash\kafka-consumer_CRM\kafka-consumer)
INFO  | 2022-02-03 16:37:48 | org.springframework.boot.SpringApplication [restartedMain]  (SpringApplication.java:597) - The following profiles are active: qa
INFO  | 2022-02-03 16:40:24 | org.springframework.boot.StartupInfoLogger [restartedMain]  (StartupInfoLogger.java:48) - Starting KafkaConsumerApplication on 105248-005L with PID 31680 (D:\Ezcash\kafka-consumer_CRM\kafka-consumer\target\classes started by Dilan_105248 in D:\Ezcash\kafka-consumer_CRM\kafka-consumer)
INFO  | 2022-02-03 16:40:24 | org.springframework.boot.SpringApplication [restartedMain]  (SpringApplication.java:597) - The following profiles are active: qa
INFO  | 2022-02-03 16:42:27 | org.springframework.boot.StartupInfoLogger [restartedMain]  (StartupInfoLogger.java:48) - Starting KafkaConsumerApplication on 105248-005L with PID 9984 (D:\Ezcash\kafka-consumer_CRM\kafka-consumer\target\classes started by Dilan_105248 in D:\Ezcash\kafka-consumer_CRM\kafka-consumer)
INFO  | 2022-02-03 16:42:27 | org.springframework.boot.SpringApplication [restartedMain]  (SpringApplication.java:597) - The following profiles are active: qa
